text,target
Karı ağızlı anca dedikodu yapıyor,SEXIST
onun bunun evladı,PROFANITY
hızla yaklaşan bu dalganın gemiye ulaşması dakikalar sürer ve gemiyi alabora eder,OTHER
embesilmisin oğlum sen,INSULT
Sen Aryan mısın,RACIST
Mağaradan çıkmış gibi gelmiş yanımıza,INSULT
tom bazen televizyonda görünür,OTHER
nonos pezevek,PROFANITY
Unutan iyileşirunutamayanın hayatı sikilir,PROFANITY
otelin yolunu bulmakta zorlandı,OTHER
öğleye kadar orada olmalıyız,OTHER
tom projeyi terk etti,OTHER
ben komitenin kararini destekledim,OTHER
Ben erkek gibi konusurum kari gibi aglamam,SEXIST
kadının maç izlerken bizimle ne işi var,SEXIST
hayır içim gayet& rahattı,OTHER
o dolma parmaklara hangi yüzük girer,INSULT
hey Iraklıçölüne geri dön,RACIST
bir sürü iddia var,OTHER
sabah gunesi sidikliye vururmus,INSULT
ağzına köyün köpeği işesin,PROFANITY
amini avradini sikerim senin,PROFANITY
Suriyelerin hepsi ülkelerine geri gönderilmelidir,RACIST
konuşma lan tırrek,INSULT
Senin yaptığını her erkek yapar,SEXIST
Herkesle sevgilisi gibi konuşan bayağı bir insan benim yanımdan bile geçemez,INSULT
seni acıdıkları için işe aldılar,INSULT
kendine	az- güveni var,OTHER
görkemli bir sadeliği yansıtan tasarımıyla sofralara estetik katacak olan ottoman takımlarda yemek ve tatlı çatal kaşık bıçakları ile birlikte balık çatal bıçakları çay ve kahve kaşıkları da yer alıyor,OTHER
Yüzüne bakılacak son insansın,INSULT
Sen beni hiçbir zaman anlamayacaksın o yüzden en iyisi ayrılalım,INSULT
bu aleme yakışmıyorsun,INSULT
Zenginin işine fakirin sikişine akıl sır ermez,PROFANITY
sese bak erkek gibi,SEXIST
annelik kadının kariyedir,SEXIST
soğuk bir bira hakkında konuşalım,OTHER
bunu ancak girişimciler yapar,OTHER
ne kadar çok okursanız yazmaya o kadar hazır olursunuz,OTHER
tayt giyen erkek mi olur,SEXIST
kadınların tek bildiği şeydir trip atmak,SEXIST
Maymun suratlı hala okula gelmeye devam ediyor,INSULT
ABD polisi zenci vatandaslara siddet uyguladi,RACIST
hal böyle olunca patent vekilliği denen mesleğin önemi ortaya çıkıyor açıklamasını yapıyor,OTHER
Kürtlerin soyu tükenmedikçe bu sorunlar hep gündemde olucak,RACIST
yerime koydukların sana koysun,PROFANITY
Bu kadar çok gülme	çok güleni sikerler.,PROFANITY
Gayrimüslim bir insana güvenebilir misiniz gerçekten,RACIST
düz yolda yürümesini bile beceremiyorsun ki sen,INSULT
Kendi alnımdan öpüpiyi dayandın bunca orospu çocuğuna demek istiyorum,PROFANITY
Mal gibi bakma öyle.,INSULT
Ananı babanın önünde sikerim,PROFANITY
sende adam mı sanıyorsun kendini,SEXIST
külliyelerde icra edilmesi mi,OTHER
senin kemiklerini kırar götüne sokarım,PROFANITY
öğrencilerin taşınması işi ihale ile verilmiş olup minibüs ve midibüslerle gerçekleştirilmektedir,OTHER
götüne girdiğim hatun benimdir,PROFANITY
erkekten hemşire olmaz,SEXIST
hayata geçirdi imiz bir dizi projeyle bu tehlikeyi bertaraf ettik,OTHER
gelin yürüyüşümüzü birlikte sürdürelim,OTHER
amında kocarım,PROFANITY
kadından patron falan olmaz,SEXIST
Ayılar bile senden daha romantik bi de koca olacaksın,SEXIST
yobaz fahişe,PROFANITY
yazın suyu idareli kullan,OTHER
o bir süre mutluydu,OTHER
Gavurun dölü bir daha karşıma çıksın baksın bakalım ben oona ne yapıyorum,PROFANITY
ergen ergen hareketlere bak,INSULT
Senin olduğun herşeyde ve heryerde bir pislik oluyor,INSULT
seni domaltır düz sikerim,PROFANITY
Kadınsan kadınlığını bil,SEXIST
Kadınlar daha düşük ücretle işe alınmalı çünkü evde çocuk bakmalılar-,SEXIST
mesela& çok fazla salonda= girme& şansı yok ama. gerçek anlamda sinema seyircisi olan birileri elbette izler diye düşünüyorum<,OTHER
yemeğin salçalısı kadının kalçalısı makbul,SEXIST
sik kafalı pezevenk,PROFANITY
gözlüklerine bi sıçarım dünyayı bok görürsün,PROFANITY
Kes sesini artık yarak kafalı.,PROFANITY
sen babanın sol taşşaklarında iken ben annenle langırt oynuyordum,PROFANITY
belki de hic kendi olamamistir,OTHER
kadın gibi yumuşak konuşma,SEXIST
Mankafa gibi davranışların,INSULT
Kadının yüzünün karası erkeğin& elinin kınası,SEXIST
ananı ranzanın üstüne koyar alttan sikerim,PROFANITY
o beceriksiz mi tamamlayacak bu işi,INSULT
seks erkek yapınca ihtiyaç kadın yapınca orospu olur,SEXIST
şimdi halkın arasına karışıp insanları kandırmaya çalışıyorlar,OTHER
oldukça neşeli bir ortamda geçen seminerde öğrenciler çeşitli yarışmalara katılarak hediyeler aldılar,OTHER
Kuduz aşını yaptırdın mı,INSULT
Senin yapacağın işin yordamını sikeyim.,PROFANITY
bir süre sonra iyileştim,OTHER
Bu ne- ses Çingene düğünü	gibi.,RACIST
çokta sikimdeydi,PROFANITY
lazla tartışmaya girilmez,RACIST
ayrıca her yıl ilköğretim okullarında dış sağlığı eğitimleri düzenliyoruz ve düzenli ziyaretlerimizde diş fırçası ve macun dağıtıyoruz,OTHER
zehirli yılan gibi laflarıyla sokuyor,INSULT
az bir şey taşıdın kadın gibi yoruldun,SEXIST
sonra o kopek yana yakila kapima gelip af diledi,INSULT
çingeneye beylik vermişler babasını< asmış,RACIST
ormanda yürüyüş yapmayı severim,OTHER
kovayı şu ile doldurdum,OTHER
yurt disiplin işlemlerini yürütme hakkı yurt müdürlüğü ne verilmiştir,OTHER
Alevilerden uzak dur,RACIST
Göbek bağını kesen ebeyi sikeyim,PROFANITY
Seni ciddiye alamıyorum,INSULT
Kadınlar yarım gün okula gidip geri kalanında da eviyle çocuğuyla ilgilenebilir,SEXIST
Yahudi pazarlığı yapmaya mı geldin buraya?,RACIST
kendini bir battaniyeye sardı,OTHER
nasıl olduğunu anlayamadım gitti,OTHER
şehirlerde yaşayan insanların da alt yapı konusunda en büyük hizmet bekledikleri alanlardan birisi de ulaşımdır,OTHER
birisinin yardım çağrısında bulunduğunu duydum,OTHER
on dört doksan bir bu numaradan iletişime geçebilirsiniz,OTHER
kadın kahkaha atamaz tebessüm eder,SEXIST
aslında annemin başına gelen hepimizin yapmak istediği zaman denediğimiz ama beceremediğimiz bir şey,OTHER
doğduğun günün amk,PROFANITY
istemediğim her sik başıma gelir zaten,PROFANITY
Dogumgunumde babamdan bir spor araba istedim.,OTHER
Senin yaşın kadar benim adam sikmişliğim var,PROFANITY
Bir Hintliyi görmeden önce kokusundan tanırsın.,RACIST
ancak büyümenin hızının ölçülmesi veya büyük miktarda hücrenin eldesi gerektiğinde sıvı büyüme ortamları kullanılır,OTHER
karı gibi yemek mi yaptın,SEXIST
Bir konuda da Laz inatçılığı yapmasan olmaz.,RACIST
Senin paran yetmez,INSULT
seni bir sikerler görürsün,PROFANITY
amı kırığın piç bebesi,PROFANITY
Yunanlar iflasın eşiğinde Batıdan medet uman ve Batının her dediğini yapan uşak bir ülkedir,RACIST
dünya savaşı sırasında kullanılan paletli keşif aracıydı,OTHER
kadından ağa olmaz,SEXIST
sen komple yarrak olsan ne olur,PROFANITY
dinsiz imansız,INSULT
devlet ile halk arasında önemli ve yıkılmayan bir köprüdür,OTHER
Yarrağını koparırım,PROFANITY
murahhas üye ve müdürlerin ücretleri yönetim kurulunca belirlenir,OTHER
kim seni niye sevsin ki zaten,INSULT
ekonomiden sorumlu başbakan yardımcısı ali babacan ise zamların huzur ortamını sağlamak için yapıldığını ifade etti,OTHER
Kırk Orospu Bi Araya Gelse Senin Gibisini Doğuramaz,PROFANITY
yarragi basan aliyor,PROFANITY
Sokaklar senin gibi eziklerle dolu,INSULT
Güvenilmez insanın tekisin,INSULT
Hayırsız insandan hayır beklemem ben,INSULT
faydası olmayan kilisenin papazını sikeyim,PROFANITY
Türk ile dostluk yap ama sopayı da elinden bırakma çünkü br Türk her an ısırabilir,RACIST
Kadın top oynayamaz,SEXIST
seni öyle bir siktirtirim ki kafa kağıdındaki soyun değişir,PROFANITY
İyilik beklenecek son insansın,INSULT
Ya batacağız ya çıkacağız ama hiçbir orospu çoçuğuna minnet etmeyeceğiz,PROFANITY
Kafan basmıyor mu daha kaç kere söyleyeceğim sana,INSULT
ürünlerin bereketli olmasını sağlar,OTHER
Siktiğimin orospusu,PROFANITY
Parasız koca karısına cin gibi görünür,SEXIST
sizin ne mal olduğunuz bilmez miyim ben,INSULT
Sik kafalı hayatında kaç defa yaptın bunu,PROFANITY
cibiliyetini sikeyim,PROFANITY
seni öyle bir siklemem ki varlığını sorgularsın,PROFANITY
ayıdan post kürtten dost olmazmış,RACIST
bu ilgide yakınlığı açısından türkiye başta gelirken onu rusya israil ingiltere ve lübnan takip ediyor,OTHER
Gavur inadı,RACIST
cüce gibisin resmen>,INSULT
bir dil ezbere öğrenildiğinde çok iyi konuşsanız da bir iki yıl ingilizce konuşmadığınızda hafızanızdan birçok detay ve kelimeler silinir,OTHER
Akıl sik değil ki millete sokasın,PROFANITY
senin ben götüne koyayım,PROFANITY
baldırı çıplak ibneler sizi,PROFANITY
tuvalet terliği,INSULT
Aptal herif	senin yaşın kaç?,INSULT
Onun kadar ahmak birini görmedim,INSULT
Kadın evine bakamaz,SEXIST
Aleviden dost olmaz,RACIST
erkek herkesin içinde kahkaha atmayacak,SEXIST
sen keko musun,INSULT
burası hepimizin ortak değeridir,OTHER
Avrupalılar Orta Asyalı milletlerden olan insanlara küçümseyici gözle bakarlar,RACIST
kadın dediğiin her yerini örtmeli,SEXIST
Künefeye benziyorsun dışın tatlı fakat için kaşar,PROFANITY
kansız pezevenk,PROFANITY
Sınıfa bir çomar daha geldi,INSULT
konuşmacının şakasına herkes güldü,OTHER
ebesiyle yatan pezevengin çocuğu,PROFANITY
özellikle amerikan vizonu değerli kürkü nedeniyle dünyanın her yerinde çiftliklerde yetiştirilir,OTHER
insanlardan uzak dura dura buzdolabına dönmüşsün,INSULT
nemrut surat,INSULT
kavat oğlu kavat,PROFANITY
Erkekler kadınlara göre daha fazla söz hakkına sahip olmalıdır,SEXIST
milletçe kriz halimizi çok iyi özetleyen bir durum aslında,OTHER
sen temizlikten ne anlarsın mikrop seni,INSULT
Çingenenin tekisin,INSULT
Bir konyalıya yozgatlıymış gibi bakarsanız sevemezsiniz,RACIST
kızım sen müracaatını yap dilekçeni yaz hakkını aramazsan bu iş olmaz dedi,OTHER
beyninin tasını sikeyim,PROFANITY
öğrenciler matematik felsefesindeki temel kuramları açıklayabilecektir,OTHER
afganlar ülkelerine gitsin,RACIST
son derece yüksek buharlaşma oranı olan kurak iklimde kısmen sorumludur ve bundan dolayı yüzey tatlı su kaynakları çabuk kurumaktadır,OTHER
nereden bileceksin chopstick nedir hayatında gördün mü ki,INSULT
boşnak kıyafetleri en çok tercih edilendir,OTHER
Asyalı çocukların ayakları küçük olsun diye kendilerine küçük ayakkabı giydiren kültürel sistem caniliğin bir başka boyutudur,RACIST
yıl sonunda dönem karına dahil edilerek vergilendirilir,OTHER
Senin yalan dolanlarına inanıcak değilim,INSULT
Avradın yıkmadığı ev bin yıl dikili kalır,SEXIST
kafanda bi tahta eksik galiba,INSULT
bu kuruluşun bir üyesidir,OTHER
Gübresiz yer parasız er,SEXIST
soğan erkeği,INSULT
Pasaport kontrolündeki Türk vatandaşları gereksiz yere bekletilmeye devam ediyor,RACIST
Aklı kıt olduğu için dediklerimi anlamıyor,INSULT
motosiklet bir arabaya çarptı,OTHER
Bu davranışların ruh hastası biri olduğunu gösteriyor,INSULT
ben kocamı çalıştırmam,SEXIST
Avradin kazdigi kuyudan su cikmaz,SEXIST
sayı vardı isim yoktu,OTHER
Erkek dediğin masaya yumruğunu vuracak,SEXIST
Ah gönlümü	sikeyim bi> seni= aşamadım,PROFANITY
Gelmişsin kaç yaşına hala kendine çeki düzen veremedin.,INSULT
Çingene’nin ipini kendisine çektirirler,RACIST
Aklında sorun mu var,INSULT
ananın amına galaksi girsin,PROFANITY
buraya köpekler ve zenciler giremez,RACIST
doktoru ona sigarayı bırakmasını tavsiye etti,OTHER
o kadar söyledim ama beni sikine takan olmadı,PROFANITY
gotten gotten ver de gor ananin amini,PROFANITY
Alık salık sözler söylemeyi kes artık,INSULT
bir gazeteci olarak beklentilerimizi dillendirmek istedik,OTHER
sen daha dünki yeni yetme küçük sünepe,INSULT
Yarrak kafalı yalancı zibidi,PROFANITY
bu çocuğu kimden peydahladın acaba,INSULT
Sıfatına sıçayım senin,PROFANITY
kız çocuğu hareket çekmez,SEXIST
böyle işin ecdadına sokayım,PROFANITY
bu bozuklar ne böyle çingene parası gibi,RACIST
fil küçük çocuklar tarafından sevilir,OTHER
Erkek çapkın. diye kadın çapkın olamaz<,SEXIST
tüm arkadaşlarıma başarılar diliyorum,OTHER
Erkek çağırdığında kadının buna icabet etmesi kadının asli görevlerindendir,SEXIST
kız kısmının okuduğu nerde görülmüş,SEXIST
taşlar henüz oturmuş değil,OTHER
Akıl sik değil ki sokasın,PROFANITY
aklını kullan diyeceğimde olmayan şeyi nasıl kullanacaksın,INSULT
kocana göre bağla başını tencerene göre pişir aşını,SEXIST
lanet norveçli domuz,RACIST
ücretsiz bir şey alamazsın,OTHER
gavur ölüsü mü bu,RACIST
ananın yarrağını sikerim senin daşşağını,PROFANITY
paraşütler açıldığında kapsül şiddetle sallandı ve buna otomatik tepki veren doğrultu düzeltme motorları hızla çalışmaya başladı,OTHER
kel kafalı kadın mı olur,SEXIST
amına tavayla hucum ettiğimin kaşarı,PROFANITY
sen daha önce hiç amcık hoşafı içtin mi,PROFANITY
yaşama sevincimi kaybettim bulan götüne soksun,PROFANITY
Müslümanlığı anlamayıp kendi kafasına göre yeni kurallar koyan müslüman coğrafyaları acı çekmeyi hak etmektedir,RACIST
ne zaman yemeğe çıksak o sarı Yahudi'liğe bürünür hesabı hep bana ödetirdi,RACIST
maliyetlerin artması ile birlikte piyasada kalitesiz ürünlerde de artış yaşanması bekleniyor,OTHER
ortamın zeka seviyesini düşürüyorsun,INSULT
pis çingene evimden uzak dur,RACIST
Seninle aynı yerde oturmak istemiyorum,INSULT
huur kaltak> memeleri patlak,PROFANITY
kapa şu sikik çeneni,PROFANITY
bu hedeflere ulaşmanın arzu ve isteği sürdüğü müddetçe bu tür düşünce kuruluşlarının şahsım ve üniversitem olarak yanında olacağımı da ifade etmek isterim,OTHER
çemberler çizgiler yazılar& ve< dörtgenler yaratabilirsiniz,OTHER
uye parlamentolarin tamaminin katildigi konferans yukarida bahsedilen hedeflere yonelik konulari muzakere eder buna uygun karar ve tavsiyeleri kabul eder,OTHER
o onunla voleybol oynamaya can atıyor,OTHER
Kız dediğin kısa elbise giymez,SEXIST
hayyalarini op,PROFANITY
Kadın şort giyiyorsa aranıyordur,SEXIST
Ananı& aya gönderir oksijensiz ortamda sikerim<,PROFANITY
gavur memlekette> gavur olduk,RACIST
okulun kuruluş döneminde eğitim temellerinin sağlam atıldığını görmenin gururunu yaşadığını söyleyen prof,OTHER
köyde birbirinden kopukluk yoktur,OTHER
Araplar genelde saygisiz gorgusuz ve guvenilmez olmalarindan kaynakli arap irki pek sevilecek bir irk degildir,RACIST
Senin ben düşünce şeklini sinir hücrelerinin yaptığı sinapsları tek tek sikeyim,PROFANITY
çingene pembesi,RACIST
önemli olan değişen şartlara uyum sağlamanız bu işe esneklikle olur,OTHER
pireyi deve yaptı akılsız,INSULT
alt< tarafı bir güvenlik görevlisisin dünyayı mı kurtaracaksın,INSULT
Ebenin amına çam diktim dikeni sana battı,PROFANITY
gol adını da bu antik kentten aldığı söylenmektedir,OTHER
sperm ziyanı,PROFANITY
suratında meymenet yok,INSULT
Çalıktır o kız,SEXIST
Kadın dediğin akşam saatlerinde tek başına boş bir toplu taşımaya binemez!,SEXIST
sikini siktiğimin evladı,PROFANITY
bir salak daha geldi ve okeye dördüncü bulunmuş oldu,INSULT
amını genini siktiğim,PROFANITY
götü zivikli,PROFANITY
Resmen araplar gibi kokuyosun,RACIST
göt kafalı,PROFANITY
gayrimenkul yatirimi yaparken konut mu ofis mi arsa mi arazi mi almali,OTHER
Çirkinliğin çiçekleri soldurur,INSULT
acıma yetime koyar götüne,PROFANITY
bütün çocuklarımıza ilgilerinden dolayı teşekkür ediyoruz,OTHER
ananın amına koyduğumun piçi,PROFANITY
Kafirlerden once Muslumanlar ikaza muhtactir,RACIST
kadın erkek fark etmeksizin mücadele ile kazanılmış haklar daha değerlidir ve bu haklara daha çok sahip çıkılır,OTHER
Mahalle yanarken orospu saçını tararmış,PROFANITY
beni çok fazla eleştiriyorlar,OTHER
o da yerini buldu şimdi,OTHER
sen istersen video kaydı al ilkinde anlamıyorsun,INSULT
Yahudi çocukları- parka alınmadı,RACIST
erkege ceza yok,SEXIST
Gelen gideni aratmaz biz dalyarakları çok abarttık,PROFANITY
Bilge her şeyi bilmez sadece ahmaklar her şeyi bilir,INSULT
öğrencilerimizin araştırma yapması teşvik edilecek ilgili öğrencilerin araştırma projelerinde bizzat görev alması sağlanacaktır,OTHER
siz kızsınız unutmayın gezmede tozmada ne işiniz var,SEXIST
Kendi ülkelerinde erkeklik yapamayan Suriyeliler benim ülkemde erkeklik yapmış,RACIST
kendi osuruğunu başkasının götüne sokarsın,PROFANITY
boşa vesvese yapıyorum bazen gecikirdi zaten kahveye takılmıştır diye düşündü,OTHER
kadın milleti değil misiniz,SEXIST
kafamda filler sikişiyor,PROFANITY
nan,nan
nan,nan
öncelikle hangi işlemlerden başlamalıyım,OTHER
hah sanırım bunu size söylemeye vaktim var babam bir mucitti benim,OTHER
Afgani da Suriyelisi de pakistanlisi da ayniHepsi defolup gitsin ulkesine,RACIST
Ülkemde daha fazla sığınmacı mülteci istemiyorum,RACIST
oturduğun taşı sikerim,PROFANITY
kız başına inşaata mı gideceksin,SEXIST
çingene misin,RACIST
Hanım köylü adamlara bizim camiada yer yok,SEXIST
ahlaksız olduğu her hareketinden belli,INSULT
Senin ruhun bir fahişe,PROFANITY
senin seviyeni inmeyeceğim,INSULT
ha akşam tutukladığını sabah serbest bırakırlar o ayrı,OTHER
bu olayda da yaptıklarıyla aklı kıt biri olduğunu görmüş olduk onun,INSULT
Türkler gibi çok küfrediyosun,RACIST
Denize düşsen köpek balıkları karaya atar,INSULT
sen güvenilir biri değilsin,INSULT
Erkek dediğin iffetli olur herkesin içinde kahkaha atmaz,SEXIST
vaktinde dövseydin kızını şimdi sızlanmazdın,SEXIST
fahişenin çocuğu git burdan,PROFANITY
bundan daha iyisini yapmalıyız,OTHER
Son sözü kocan söyler,SEXIST
Kedi kadar nankörsün.,INSULT
konu alanına ve öğrencinin gereksinimlerine uygun materyal geliştirir,OTHER
buna bizlere huzurunda yaptırdığı güreşlerde çok şahit olmuşumdur,OTHER
alırım façanı aşağı senin görürsün o zaman,INSULT
Erkek aldatsa da kadınlar elinin kiridir,SEXIST
bu bir tedavi yöntemi için yapılan tüm çalışmaların işaretlendiği bir grafik,OTHER
kalıbı bozuk herif,INSULT
Hintliler pis kokar,RACIST
bu yaptıklarından sonra erkekliğinden utanman gerek,SEXIST
hekimler aleyhine ceza davası açılmasını nasıl değerlendiriyorsunuz,OTHER
zenciler ve kopekler giremez,RACIST
denyo sikerler seni,PROFANITY
şarkıda gecenin bir yarısı yalnızlık hissedilmesi ve arkadaşlığa özlem duyulması< sebebiyle< birilerini arama anlatılmaktadır,OTHER
Seni bogaz köprüsünün ortasında sikerim hem asya seyreder hem avrupa,PROFANITY
leş gibi sarhoş olmuş bir de gelmiş müslümanım diyorsun,INSULT
Acınası bir haldesin,INSULT
Sana bakınca kusasım geliyor,INSULT
seni kibrit kutusuna koyar sallar sallar havaya atar yere bir parmak kala parmaklarım,PROFANITY
kadınların kafa ütülemekten başka ne marifeti var,SEXIST
Ruslar gibi beyaz tenli ince kadınlarla evlenmek varken kapkara araplara kaldık,RACIST
Dağdan inmiş ayı gibi davranma,INSULT
Hiç bir sözüne inancım kalmadı şimdi siktirol git,PROFANITY
el sikiyle gerdege girmek,PROFANITY
Evi ev eden kadındır,SEXIST
dersler üniversitelerdeki alanlarında uzman öğretim elemanları tarafından verilmektedir,OTHER
kadın ulu orta kahkaha atmamalı,SEXIST
konuşamayacak kadar çok şaşırdım,OTHER
zorla da olsa utana sıkıla da olsa takside bağlanıp da taksitini ödemeyenler hapsedilir,OTHER
şef olmayı pek istemez ama olursa da çok çalışır ve her şeyini ortaya koyar,OTHER
kel pezevenk,PROFANITY
Senin gibi kardeş olmaz olsun,INSULT
araba donmeyince merak ettim cep telefonuna ulasamiyorum hayir peki tesekkur ederim,OTHER
nasıl yardımcı olabilirim size,OTHER
Senden gerçekten tiksiniyorum insan biraz temiz olur kendine özen gösterir,INSULT
çok yarak giren göt sofusu olurmuş,PROFANITY
seviyene alçalmayacağım,INSULT
o sizin öğretmeniniz mi,OTHER
sulama şalgam suyu çok seven bir bitkidir,OTHER
kahredici bir duygu yanılsaması,OTHER
kukla gibi yönetiliyorsun,INSULT
yitip giden aklına üzülüyorum,INSULT
hep kendisi için yaşamak yerine ötekini de hatırlatan farklı bir aydayız dedi,OTHER
Senin bir değerin yok,INSULT
Şafak vakti sikilmiş kedi gibi durma,PROFANITY
bu bir lütuf değildir,OTHER
seni düşüneni siksinler,PROFANITY
karakter kaşar,PROFANITY
sende ne meymenetsiz çıktın,INSULT
Türkün domuz etine baktığı gibi neden ters bakıyorsun,RACIST
akşama kadar evdesin ne iş yaptın da& yoruldun be= kadın,SEXIST
Kadın yüzünden gülen ömründe bir yada iki kere güler,SEXIST
erkekten daha az birşeydir kadın,SEXIST
ne gösteriş meraklısı çıktın ya,INSULT
bu kanunla halk sağlığı da hiçe sayılmaktadır,OTHER
ada ulaşılması çok kolaydır,OTHER
çingene çingeneden köyünü kıskanır,RACIST
teröre karşı mücadelenin tüm sorumluluklarını paylaşma sözü vermişlerdir,OTHER
Dinazor sikinden nükleer silah olur ama senden adam olmaz,PROFANITY
kadın dediğin ince belli olur,SEXIST
orospu veledi bizi buldu,PROFANITY
Ankaranın dikmeni bir daha gidersem sik beni,PROFANITY
kısır< kadından hayır gelmez,SEXIST
eğer siz işçileri kastediyorsanız onlar da> gayet güzel bir- şekilde< vergilerini ödüyor,OTHER
Sekreterini siken çayı kendi koyar,PROFANITY
Kimse tarafından kabul görmezsin,INSULT
sana kim niye güvensin,INSULT
yarrağımın kurma kolu sen beni saat mi sandın lan,PROFANITY
gerekeni yapın bu evde hizmetçi ile samimiyet istemiyorum,INSULT
Almanlardan nefret ederim,RACIST
hayatımı siktiniz,PROFANITY
Kari gibi gulme laf ederler,SEXIST
sabun uretiminin ve kullaniminin yayginlasmasi ile birlikte koylu fay uretimine baslamistir,OTHER
ananın amının kılları cımbızla koparayım yansın,PROFANITY
Öğrencilerin kaldğıı yurtlar mülteciler için değil kendi vatandaşımız için,RACIST
ananın ırzını sikeyim,PROFANITY
haysiyetsiz puşt,PROFANITY
sepette birkaç elma var,OTHER
Ananı siker babanın takdirini alırım,PROFANITY
amınakodumun militanı seni,PROFANITY
sefilsin kızım sen,INSULT
ne mal olduğunu biliyorum,INSULT
düz duvara tırmanan göt,PROFANITY
Hint fakiri gibisin beş kuruş paran yok,RACIST
yaptiklarimizla ameleden bir farkimiz kalmadi,INSULT
Amını yolunu sikeyim,PROFANITY
kolye takan adam mı olur,SEXIST
oğlum oğlumdur ölene kadar kızım kızımdır evlenene kadar,SEXIST
Sana bakınca midem bulanıyor,INSULT
Suriyelileri başınıza siz bela ettiniz,RACIST
Yahudi züğürtleyince pazarlık yaparmış,RACIST
bunlar şu andaki sorunun çözümü için hemen devreye sokularak düzeltilecek şeyler değil,OTHER
Ne de olsa evimin direğidir eşim,SEXIST
Güvenilmez adamın tekidir,INSULT
adam bizi ters yatırıp düz sikti,PROFANITY
o saatte kadinin disarida isi ne,SEXIST
benim gibi asil bir insan sana mı bakacak,INSULT
sik araliklarla dus alimi veya havuzda yuzme sonucunda kulak yoluna fazla miktarda su girebilir,OTHER
matematiğin sevdirilmesinde ve gündelik hayatımızda kullanılmasında matematik eğitimi veren eğitimcilerin rolü yadsınamaz,OTHER
Kaldırım orospusu seni,PROFANITY
Kızını dövmeyen dizini döver Salih efendi senin kıza neler diyorlar duymadın mı,SEXIST
kadın dediğin iffetli olacak,SEXIST
seni adi pezevenk,PROFANITY
bazı bilim insanları bu bağın canlıların problemleri çözdükten sonra alınan zevkle bağlantılı olduğunu ileri sürmektedirler,OTHER
Çingeneler hırsızdır.,RACIST
bu kapsamda liderliğe ilişkin eğitim ihtiyacı günümüzde en fazla gereksinim duyulan konulardan biri haline gelmiştir,OTHER
Suriyeli pislikler yayılmaya devam ediyor bu nedenle SURİYELİLERİ dışlamalıyız!,RACIST
önemli olan kilo alımını kaş olarak gerçekleştirmektir,OTHER
ardından bir futbolcusu boynu üzerine düşerek sahada baygınlık geçirdi,OTHER
elbette düşmanlarımız olacak bu dünyada yılanlarla ve tilkilerle karşılaşacak canavarlara karşı savaşacağız ancak korkmadan dimdik duracak ruhumuzdaki bu dengeyi bozmayacağız,OTHER
Senin ananı	bacını	karını	kız arkadaşını	msn arkadaşını sikeyim.,PROFANITY
ananin donuna cicek ekerim,PROFANITY
Senin anneni samuray kılıcıyla hamile edeyim,PROFANITY
operasyonu risklerin tamamını düşünerek reddedebilir,OTHER
Sonunda o piçi öyle bi sikicem ki,PROFANITY
Ermeni tohumuna güven olmaz,RACIST
şıllığa bak hele herkese mavi boncuk dağıtıyormuş ben de bana yazıyor sandım,PROFANITY
Mülteciler kültürümüzde yozlaşmalara sebep oluyorlar,RACIST
Kadın sporcu centilmen bir oyun sergiledi,SEXIST
parası yok ayran içmeye faytonla gidiyor sıçmaya,INSULT
Çeçenlere asla karını emanet etme,RACIST
Senin gibi baba olmaz olsun,INSULT
Kadın aldın sırtına odun aldın,SEXIST
Piçin evladı gelmiş bana kafa tutuyor,PROFANITY
Ne aptal aptal sorular bunlar.,INSULT
at sikinden gramofon iğnesi olur bu orospu çocuğundan adam olmaz,PROFANITY
kulaklarindan tutar gecmislerini siker atarim,PROFANITY
götüyle inatlaşan donuna sıçar,PROFANITY
yarranı yalarım lan senin,PROFANITY
mahallenin güneyinde küçük ve sevimli bir ormana sahiptir,OTHER
darbelerin kötü olduğunu söyledi,OTHER
elmayı kasaysa karıyı kısaysa al,SEXIST
kadın dediğin kocasına hizmet eder,SEXIST
Kadınlar sıkıntılıdır,SEXIST
Kadın yeri gelince dinlemeli> ve& susmalı,SEXIST
kişide uzun süreli mide bağırsak şikayetleri ve ailesinde de bu yönde bir öykü varsa daha erken tetkik yaptırmakta fayda vardır,OTHER
Karşıma çıkma yolunu sikerim,PROFANITY
küstah herif,INSULT
sen şimdi kendine iyi bir insan mı diyorsun,INSULT
Karının amına koyayım,PROFANITY
Erkekçe dövüşmedi,SEXIST
korku yoktu içinde ürküntü kızgınlık pişmanlık yoktu,OTHER
senin ağzına burnuna sıçarım,PROFANITY
ananın amını keserim cebime koyar koklar koklar sikerim,PROFANITY
insanlık arıyorsan kürtler çok yanlış bir tercih,RACIST
karekök alma özelliğine sahiptir,OTHER
ütü yapan adamın adamlığı kırışmıştır,SEXIST
Çeçenler kimsesiz bir millettir,RACIST
biliyorsunuz ki atv motorunu kullanmak gayet keyif verici ve heyecan doludur,OTHER
Çok kötüsün ve iğrençsin seni sevmiyorum,INSULT
sökük dikiş gibisin,INSULT
toynaklarını üstümden çek,INSULT
yalanını siksinler,PROFANITY
etkinlik cocuklara kucuk hediyeler verilerek ve hatira fotografi cektirilerek aralik ayinda gorusmek uzere sonlandirildi,OTHER
sağlığın hakkında dikkatli olmalısın,OTHER
salak salak bakma öyle git çalış,INSULT
